CIDADE,ESTADO,QUANTIDADE_DE_INDICACOES,LAT,LON
ARAPOTI,PARANA,5,-24.1457957,-49.8224605
ARAPUA,PARANA,1,-24.3079525,-51.7901941
ARARANGUA,SANTA CATARINA,2,-28.9348832,-49.4858389
ARARAQUARA,SAO PAULO           ,19,-21.7886713,-48.1773096
ARARAS,SAO PAULO           ,24,-22.3569192,-47.3838766
ARARICA,RIO GRANDE DO SUL,1,-29.6168543,-50.929121
ARARIPINA,PERNAMBUCO          ,3,-7.5768582,-40.5038509
ARARUAMA,RIO DE JANEIRO      ,5,-22.7446908,-42.3231292
ARARUNA,PARANA,1,-23.9320308,-52.4976047
ARAUCARIA,PARANA,15,-25.5861107,-49.4051209
ARAUJOS,MINAS GERAIS        ,5,-19.946829,-45.1654312
ARAXA,MINAS GERAIS        ,13,-19.6009149,-46.940923
ARCOS,MINAS GERAIS        ,4,-20.282223,-45.539444
ARCOVERDE,PERNAMBUCO          ,1,-8.4208643,-37.0547808
AREALVA,SAO PAULO           ,1,-22.0301906,-48.9111936
AREIA BRANCA,RIO GRANDE DO NORTE ,1,-4.9506652,-37.1263312
AREIOPOLIS,SAO PAULO           ,1,-22.6758064,-48.6673653
ARINOS,MINAS GERAIS        ,2,-15.917223,-46.106111
ARIPUANA,MATO GROSSO         ,1,-10.175806,-59.4439663
ARIQUEMES,RONDONIA            ,4,-9.9076522,-63.033069
ARMACAO DOS BUZIOS,RIO DE JANEIRO      ,1,-22.7597805,-41.8875267
ARMAZEM,SANTA CATARINA,3,-28.2624996,-49.0190126
AROEIRAS,PARAIBA             ,12,-7.5462904,-35.7080002
ARTUR NOGUEIRA,SAO PAULO           ,5,-22.572737,-47.172679
ARUJA,SAO PAULO           ,8,-23.396266,-46.3175449
ASSIS,SAO PAULO           ,4,-22.6620892,-50.420623
ASSIS CHATEAUBRIAND,PARANA,9,-24.4054826,-53.5120468
ASTORGA,PARANA,3,-23.2350184,-51.6647074
ATIBAIA,SAO PAULO           ,24,-23.1177393,-46.5547861
AURIFLAMA,SAO PAULO           ,5,-20.6840418,-50.5554616
AURORA,CEARA               ,1,-6.9426019,-38.9693765
AVANHANDAVA,SAO PAULO           ,1,-21.4603331,-49.9465156
AVARE,SAO PAULO           ,9,-23.1045215,-48.9259103
AXIXA DO TOCANTINS,TOCANTINS           ,1,-5.612747,-47.77007
BAEPENDI,MINAS GERAIS        ,9,-21.9575733,-44.8891463
BALDIM,MINAS GERAIS        ,1,-19.2913568,-43.9558262
BALNEARIO ARROIO DO SILVA,SANTA CATARINA,2,-28.9815269,-49.4189932
BALNEARIO CAMBORIU,SANTA CATARINA,2,-26.9924395,-48.6339782
BALSAMO,SAO PAULO           ,1,-20.7343722,-49.5807484
BAMBUI,MINAS GERAIS        ,7,-20.0131996,-45.9777034
BANANEIRAS,PARAIBA             ,7,-6.7537682,-35.6338343
BANDEIRANTES,PARANA,4,-23.107788,-50.370407
BARAO,RIO GRANDE DO SUL,1,-29.372474,-51.494908
BARAO DE COCAIS,MINAS GERAIS        ,4,-19.9452437,-43.4870298
BARBACENA,MINAS GERAIS        ,33,-21.2254524,-43.7735087
BARBALHA,CEARA               ,5,-7.3121067,-39.3036427
BARBOSA FERRAZ,PARANA,5,-24.0287182,-52.00811
BARRA BONITA,SAO PAULO           ,12,-22.490859,-48.558349
BARRA DE SAO FRANCISCO,ESPIRITO SANTO      ,3,-18.7570902,-40.8916119
